,title,published_date,views,likes,comments,month
65,La GINECOMASTIA de Israel Adesanya!!!,2022-02-07,376615,12672,289,Feb
66,Sigue la GINECOMASTIA de Israel Adesanya!!!,2022-02-07,133996,6288,487,Feb
67,Big Ramy Vs Larry Wheels y no me lo creo!!!,2022-02-06,160139,8110,234,Feb
68,JAKE PAUL vs KHABIB!!! Quién gana???,2022-02-06,327699,16666,611,Feb
69,CONOR McGREGOR es más GRANDE que la UFC!!!,2022-02-06,137731,6885,702,Feb
70,Deportistas LLORONES o deportes FUERTES???,2022-02-05,132235,8683,584,Feb
71,Kamaru Usman VS Israel Adesanya por la PLATA!!!,2022-02-05,143860,7250,718,Feb
72,Strickland es un ID1OT4 muy DURO!!!,2022-02-04,313336,15605,206,Feb
73,CRISTIANO RONALDO en terapia de FRÍO!!!,2022-02-04,2171645,75814,995,Feb
74,La DESTRUCCIÓN FÍSICA y PSICOLÓGICA de PAULO COSTA,2022-02-04,134343,7261,502,Feb
75,Conor McGregor MOTIVACIÓN!!!,2022-02-03,214024,9152,737,Feb
76,Jon Jones VS Stipe Miocic por el INTERINO???,2022-02-03,117149,6925,749,Feb
77,Conor McGregor es el PELEADOR de MMA más exitoso de la HISTORIA!,2022-02-02,664330,35070,969,Feb
78,Conor McGregor NO CREO EN LOS LUNES!!!,2022-02-02,165386,12977,930,Feb
79,La MEJOR PELEA del 2023!!!,2022-02-01,124973,5229,290,Feb
80,Khabib AMENAZA a la UFC???,2022-02-01,125890,6880,554,Feb
81,El CANELO COMPRANDO sus PELEAS!!!,2022-01-31,2762621,106677,2586,Jan
82,La última GUERRA del CUCUY!?,2022-01-31,122135,6930,728,Jan
83,Conor McGregor moviendo PESOS FALSOS???,2022-01-30,717083,24887,922,Jan
84,El SECRETO para vencer a ISRAEL ADESANYA!!!,2022-01-30,134180,7767,668,Jan
85,El MIEDO a las LOLAS!,2022-01-29,971389,39092,1041,Jan
86,KAMARU USMAN quiere el CINTURÓN de las 205 libras!!!,2022-01-29,142339,7474,880,Jan
87,El FRACASO del SUPERMAN F3M1N1STA!!!,2022-01-29,70473,7253,878,Jan
88,"Se llora para SEGUIR, no para LAMENTAR!",2022-01-28,177307,16603,222,Jan
89,Qué COMIÓ Figueiredo para GANAR 20 Lbs frente a BRANDON???,2022-01-28,115976,5504,462,Jan
90,Quiero mi IGUALDAD!,2022-01-27,647762,30502,1805,Jan
91,Colby Covington PREDICE el FINAL de CONOR McGREGOR,2022-01-27,141767,7627,704,Jan
92,Igualdad en ALTURA???,2022-01-26,974073,47186,2266,Jan
93,El día que BROCK LESNAR molió a MARK HUNT (DOPADO),2022-01-26,78145,4813,374,Jan
94,Figueiredo REBOTÓ 20 libras!!!,2022-01-25,526305,18166,332,Jan
95,El RENCOR de DANA WHITE con NGANNOU!!!,2022-01-25,181962,10133,988,Jan
96,Francis Ngannou no quiere pelear por 500 mil!!!,2022-01-24,297929,13403,637,Jan
97,Figueiredo le ROBÓ a BRANDON MORENO???,2022-01-24,223702,11365,1529,Jan
98,BESTIAL SLAM de Francis Ngannou!!!,2022-01-23,111798,6561,177,Jan
99,La EVOLUCIÓN de FRANCIS NGANNOU para vencer a GANE!,2022-01-23,193071,12391,1511,Jan
100,El GRAN MENTIROSO no es Francis Ngannou!,2022-01-22,126109,6495,675,Jan
101,Francis Ngannou en la MEJOR FORMA de su CARRERA!,2022-01-22,134353,7506,721,Jan
102,JON JONES CAMPEÓN de los PESADOS en 2022???,2022-01-21,143581,7232,764,Jan
103,MIKE TYSON vs JAKE PAUL por 50 MILLONES???,2022-01-21,137883,6282,567,Jan
104,NO ENTRENEN con LARRY WHEELS!!!,2022-01-20,334897,15151,427,Jan
105,Tristyn Lee y la MÍSERA VIDA al 4%,2022-01-20,299366,15380,860,Jan
106,La IGUALDAD se gana SUDANDO!,2022-01-19,279478,14472,421,Jan
107,Khamzat Chimaev puede APLASTAR a GILBERT BURNS???,2022-01-19,127378,6671,784,Jan
108,La CLASE del CANELO a Ryan García!,2022-01-18,2760721,109653,1713,Jan
109,NGANNOU va a noquear a CIRYL GANE???,2022-01-18,139623,7745,1280,Jan
110,Se MUEVE mejor que YO!!!,2022-01-17,1198079,57027,1072,Jan
111,"HENRRY CEJUDO usa la vieja confiable ""RAC1SMO""",2022-01-17,117981,6991,763,Jan
112,"Yo antes lo hacía, pero....",2022-01-16,1015101,30103,993,Jan
113,KHAMZAT CHIMAEV será el MEJOR de la HISTORIA???,2022-01-16,140443,6986,911,Jan
114,La CINTURA de MIKE TYSON!,2022-01-15,173216,9474,492,Jan
115,ENTRE NOSOTROS MISMOS!!! Lección de vida!,2022-01-15,166590,12636,436,Jan
116,FRANCIS NGANNOU dobló la rodilla ante GANE!!!,2022-01-15,173925,7471,798,Jan
117,PERDIÓ 300 LIBRAS!!!,2022-01-14,301265,26157,471,Jan
118,Qué es SER un HOMBRE? 220 mil likes!!!,2022-01-14,174879,21697,1308,Jan
119,EL METACANELO!,2022-01-13,1195679,43855,536,Jan
120,MASVIDAL vs COLBY!!! El BEEF se resuelve en la JAULA!,2022-01-13,153073,7534,815,Jan
121,Puede JAKE PAUL vencer un TOP en UFC???,2022-01-12,132288,6545,874,Jan
122,Por qué JAKE PAUL no reta a SILVA???,2022-01-12,448488,21887,266,Jan
123,El RECHAZO de DANA WHITE a HENRY CEJUDO!,2022-01-12,126317,6304,486,Jan
124,BOXEANDO en CABINA TELEFÓNICA!!!,2022-01-11,114672,5339,322,Jan
125,NOMBRES que hacen ESTRELLAS! GRACIAS CONOR!!!,2022-01-11,106983,5999,736,Jan
126,Cómo VENCER a tu HERMANO MAYOR!!!,2022-01-10,147169,8375,274,Jan
127,"Billie Eilish ""EL N0P0R DESTRUYÓ MI CEREBRO""",2022-01-10,256159,17222,1679,Jan
128,Quién ganó el BEEF entre DANA WHITE y JAKE PAUL???,2022-01-10,68510,4380,422,Jan
129,El peleador más IDIOT4 de la UFC!!!,2022-01-09,185472,9235,646,Jan
130,JAKE PAUL se MUDA a las MMA!!!,2022-01-08,478658,19071,1100,Jan
131,EL GRAN PROBLEMA de PAULO COSTA!,2022-01-08,121383,5920,563,Jan
132,N0QU3AR a un COMPAÑERO de SPARRING???,2022-01-07,118649,6102,266,Jan
133,El CUELLO de GODZILLA! Rubiel Mosquera (Neckzilla),2022-01-07,396289,14564,1255,Jan
134,NIEGAN a NATE vs POIRIER por McGREGOR???,2022-01-07,95974,5284,443,Jan
135,Qué es SER un HOMBRE???,2022-01-06,6332566,546763,19314,Jan
136,Adesanya SUBESTIMA a Robert Whittaker!!!,2022-01-06,153481,7744,666,Jan
137,Quién gana entre el CANELO de hoy y el MAYWEATHER de ayer???,2022-01-05,688002,21155,2267,Jan
138,Francis Nagannou ALUCINA con FURY y WILDER!!!,2022-01-05,127340,6228,962,Jan
139,Cuida los NUDILLOS!,2022-01-04,541759,26680,662,Jan
140,El PEOR G0LPE que recibió Floyd Mayweather???,2022-01-04,730718,34423,2645,Jan
141,El día que DOS BESTIAS se ENFRENTARON! LESNAR vs OVEREEM!,2022-01-04,166773,7723,637,Jan
142,EL MAESTRO ENOJADO!!!,2022-01-03,432611,19748,931,Jan
143,"El GRAN PROBLEMA de Paddy Pimblett ""The Baddy""",2022-01-03,209131,8380,472,Jan
144,El ENGAÑO de las BICICLETAS en McDonalds,2022-01-03,78728,5208,566,Jan
145,Todos tenemos un AMIGO que se cree CONOR McGREGOR!,2022-01-02,409084,16782,562,Jan
146,Jake Paul CAG4 a Dana White con una APUESTA!,2022-01-02,166708,7694,482,Jan
147,Se MUR10 3 VECES el falso maestro!!!,2022-01-01,389848,20437,514,Jan
148,A DANA se la SUDA Francis Ngannou!,2022-01-01,186199,8704,817,Jan
149,DESMOTIVACIÓN de AÑO VIEJO!,2022-01-01,39894,2564,112,Jan
150,"De 155 LBS a 200 LBS Paddy ""The Baddy"" Pimblett",2021-12-31,453939,16367,316,Dec
151,"Un VIEJO para Paddy ""The Baddy"" Pimblett",2021-12-31,162756,7431,541,Dec
152,Khabib VS Cristiano Ronaldo!!! Quién gana???,2021-12-30,199409,9688,290,Dec
153,VELOCIDAD MATRIX!!!,2021-12-30,194820,10498,182,Dec
154,JAKE PAUL vs JULIO CESAR CHÁVEZ JR???,2021-12-30,104484,5135,623,Dec
155,Qué les parece los TRANSANIMALES?,2021-12-29,528192,34091,3300,Dec
156,Conor McGregor VS Tony Ferguson según el ENTRENADOR de CONOR!,2021-12-29,140824,7700,785,Dec
157,DEBATE sobre (GORDOFOBIA) con @VilaDixit,2021-12-29,100942,4437,1487,Dec
158,CUIDADO con los maestro de RÁPIDO y FURIOSO!!!,2021-12-28,3575691,173047,1971,Dec
159,JAKE PAUL ofrece 5 millones. MASVIDAL PIDE 20!!!,2021-12-28,134936,6487,707,Dec
160,La MEDIOCRIDAD es MALA COMPAÑERA!!!,2021-12-27,418476,18900,766,Dec
161,OFICIAL!!! KHABIB 2.0 vs Beneil Dariush!,2021-12-27,107201,5644,507,Dec
162,La RECUPERACIÓN MILAGROSA de McGREGOR y las acusaciones de JOE ROGAN,2021-12-26,294102,14346,903,Dec
163,El CANELO en MATRIX!,2021-12-25,1894618,89235,1256,Dec
164,La CABEZA no se ENTRENA!!!,2021-12-25,640292,26089,786,Dec
165,Sergio Ramos!!! EL CARNICERO y su RECORD de EXPULSIONES!,2021-12-25,95515,4999,750,Dec
166,El CANELO a FULL en su Lamborghini,2021-12-24,443666,20545,1392,Dec
167,Te parece bien esto???,2021-12-24,990156,23797,1784,Dec
168,BOMBAZO!!! Oliveira quiere a CONOR McGREGOR para el UFC 274!!!,2021-12-24,179071,9219,1177,Dec
169,El LIVERKING y los VENDEHÚMOS,2021-12-23,124691,7483,517,Dec
170,"La MENTALIDAD del XOKAS ""Quiero ser el MEJOR y el más FUERTE""",2021-12-23,234072,20446,815,Dec
171,Colby Covington vs Khamzat Chimaev en PLANES para UFC 271!!!,2021-12-22,117002,6036,758,Dec
172,"MARITHEA : ""SER MUJER NO ES UN MÉRITO""",2021-12-22,68192,6219,673,Dec
173,El REY del K0 en la UFC! La BESTIA NEGRA!!!,2021-12-21,109943,6556,356,Dec
174,Sean O'Malley #13 sin GANAR a NADIE!!!,2021-12-21,139582,6983,791,Dec
175,MASVIDAL le RESPONDE a Jake Paul,2021-12-20,162457,7405,636,Dec
176,Jake Paul DESTRUYE a Tyron Woodley!!!,2021-12-19,264625,11468,1207,Dec
177,LOCURA el K0 de JAKE PAUL!!!!,2021-12-19,121178,5537,647,Dec
178,Dustin Poirier VS Nate Diaz en ENERO! Una LOCURA!,2021-12-18,157545,6851,591,Dec
179,Jake Paul en la MEJOR FORMA de su CARRERA!,2021-12-18,149981,5729,476,Dec
180,Por qué POIRIER no hizo el SLAM de CHANDLER???,2021-12-17,311229,8522,928,Dec
181,McGREGOR y NATE tiran M13RD4 a POIRIER!!!,2021-12-16,107499,7040,1118,Dec
182,McGREGOR quiere PELEAR con OLIVEIRA!!! 🤣,2021-12-15,181966,9289,1112,Dec
183,Julianna Peña DETIENE el MUNDO y SOMETE a Amanda Nunes!!!,2021-12-14,344814,9551,1703,Dec
184,Larry Wheels casi ROMPE a NOEL DEYZEL!!!,2021-12-14,105325,6598,348,Dec
185,La DESTRUCCIÓN de Cody Garbrandt,2021-12-13,161950,7534,899,Dec
186,Sean O'Malley lo vuelve a HACER por K0!!!,2021-12-13,147245,7122,829,Dec
187,"Charles Oliveira le cierra el HOCICO a KHABIB, GAETHJE y a MI!!!",2021-12-12,736190,18681,2185,Dec
188,Charles Oliveira SOMETE a Dustin Poirier!!!!,2021-12-12,168404,7262,1019,Dec
189,"El ""PAYASO"" quiere GUERRA con Cody Garbrandt!!!",2021-12-11,129846,6382,557,Dec
190,Charles Oliveira se RINDE FÁCIL???,2021-12-10,142045,7305,1177,Dec
191,El BRUTAL CORTE de peso de Cody Garbrandt!!!,2021-12-10,84457,4928,409,Dec
192,CONOR McGREGOR sigue resentido con Khabib PERO...,2021-12-09,121648,7793,1743,Dec
193,FURY fuera y JAKE PAUL salvado por Tyron Woodley,2021-12-08,128327,5992,435,Dec
194,800 GOLES del BICHO!!! CRISTIANO RONALDO y a LLORAR a MATERNIDAD!,2021-12-07,84848,6530,1157,Dec
195,El MEJOR VIDEO de CONOR McGREGOR Si te ríes PIERDES,2021-12-07,114470,9230,667,Dec
196,Khamzat Chimaev y los GANGSTER de CARTÓN,2021-12-06,165700,8550,884,Dec
